"Repo","Name","RelPath","SizeKB","Hint"
"_import_scans","AISA_System_Architecture_Diagram (1).png","_import_scans\Civium_20250820_014135\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram (1).png","119.8","generic"
"_import_scans","AISA_System_Architecture_Diagram.png","_import_scans\Civium_20250820_014135\admin\inbox\GmailDump_20250811\originals\AISA_System_Architecture_Diagram.png","119.8","generic"
"_import_scans","Evomap_Mockup_v1.png","_import_scans\Civium_20250820_014135\projects\website\Evomap_Mockup_v1.png","1472.3","generic"
"_import_scans","PXL_20250805_191804037.jpg","_import_scans\Civium_20250820_014135\admin\inbox\GmailDump_20250811\originals\PXL_20250805_191804037.jpg","2201.1","generic"
"_import_scans","Logo_v1.png","_import_scans\Civium_20250820_014135\projects\website\Logo_v1.png","1072.4","name-match"
"$GH","cocivium_status_amber.svg","$GH\CoCache\docs\assets\brand\cocivium_status_amber.svg","0.3","folder-match"
"$GH","cocivium_status_gray.svg","$GH\CoCache\docs\assets\brand\cocivium_status_gray.svg","0.3","folder-match"
"$GH","cocivium_status_green.svg","$GH\CoCache\docs\assets\brand\cocivium_status_green.svg","0.3","folder-match"
"$GH","cocivium_status_red.svg","$GH\CoCache\docs\assets\brand\cocivium_status_red.svg","0.3","folder-match"
"$GH","7742cf74-8e06-4274-9a9b-849a38fc964c.png","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\7742cf74-8e06-4274-9a9b-849a38fc964c.png","326.4","generic"
"$GH","cea73f29-eb48-49ff-8540-b35c569d1e96.png","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\cea73f29-eb48-49ff-8540-b35c569d1e96.png","334.6","generic"
"$GH","heartbeat.fsMs.svg","$GH\CoCache\docs\assets\metrics\heartbeat.fsMs.svg","0.3","generic"
"$GH","OldeVillagePeople.png","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.39_Spanky_GVB_20251009_192232\payload\OldeVillagePeople.png","1629.7","generic"
"$GH","quad.svg","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\quad.svg","1.1","generic"
"$GH","quadrant-plot.svg","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\quadrant-plot.svg","1.1","generic"
"$GH","radar-readiness.svg","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cpda\docs\assets\radar-readiness.svg","1.1","generic"
"$GH","radar.svg","$GH\CoCache\docs\advice_bombs\batch_20251014_124554\.19_Spanky_CPDA-CADI_20251008_225001\payload\cadi\docs\assets\radar.svg","1.1","generic"
"$GH","cocivium_logo_amber_tm.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_amber_tm.svg","0.3","name-match"
"$GH","cocivium_logo_amber.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_amber.svg","0.3","name-match"
"$GH","cocivium_logo_gray_tm.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_gray_tm.svg","0.3","name-match"
"$GH","cocivium_logo_gray.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_gray.svg","0.3","name-match"
"$GH","cocivium_logo_green_tm.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_green_tm.svg","0.3","name-match"
"$GH","cocivium_logo_green.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_green.svg","0.3","name-match"
"$GH","cocivium_logo_red_tm.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_red_tm.svg","0.3","name-match"
"$GH","cocivium_logo_red.svg","$GH\CoCache\docs\assets\brand\cocivium_logo_red.svg","0.3","name-match"
"$GH","InSeed_Logo_Shadow.png","$GH\CoCache\advice-bombs\extracted\Desktop_Roundup_20251017_110528\InSeed_Logo_Shadow.png","6.8","name-match"
"$GH","InSeed_Logo_Shadow.png","$GH\CoCache\advice-bombs\extracted\Desktop_Roundup_20251017_105715\InSeed_Logo_Shadow.png","6.8","name-match"
"AmpliPi","after_mk.PNG","AmpliPi\docs\imgs\app_demos\load_preset\after_mk.PNG","261.8","generic"
"AmpliPi","amplipi_320x126.png","AmpliPi\amplipi\display\imgs\amplipi_320x126.png","11.2","generic"
"AmpliPi","amplipi_banner_black.png","AmpliPi\web\static\imgs\amplipi_banner_black.png","57.8","generic"
"AmpliPi","amplipi_banner_white.png","AmpliPi\web\static\imgs\amplipi_banner_white.png","82.8","generic"
"AmpliPi","api_addstream.jpg","AmpliPi\docs\imgs\api_addstream.jpg","35.1","generic"
"AmpliPi","api.jpg","AmpliPi\docs\imgs\api.jpg","11.4","generic"
"AmpliPi","backpanel.png","AmpliPi\docs\imgs\backpanel.png","1649.6","generic"
"AmpliPi","before_pst_expand.PNG","AmpliPi\docs\imgs\app_demos\load_preset\before_pst_expand.PNG","314.8","generic"
"AmpliPi","clone_folder.jpg","AmpliPi\docs\imgs\remote_dev\clone_folder.jpg","9.5","generic"
"AmpliPi","controller_boards_diagram.drawio.svg","AmpliPi\hw\diagrams\controller_boards_diagram.drawio.svg","156.6","generic"
"AmpliPi","debug_config1.jpg","AmpliPi\docs\imgs\debug_config1.jpg","97.6","generic"
"AmpliPi","debug_config2.jpg","AmpliPi\docs\imgs\debug_config2.jpg","112.6","generic"
"AmpliPi","debug_config3.jpg","AmpliPi\docs\imgs\debug_config3.jpg","106.2","generic"
"AmpliPi","debug_config4.jpg","AmpliPi\docs\imgs\debug_config4.jpg","105.5","generic"
"AmpliPi","disconnected.png","AmpliPi\web\static\imgs\disconnected.png","4.5","generic"
"AmpliPi","dlna.png","AmpliPi\web\static\imgs\dlna.png","44.6","generic"
"AmpliPi","expander_boards_diagram.drawio.svg","AmpliPi\hw\diagrams\expander_boards_diagram.drawio.svg","129.8","generic"
"AmpliPi","extension.jpg","AmpliPi\docs\imgs\remote_dev\extension.jpg","14.7","generic"
